id;név;nemzetiség;születési hely;születési idő
847;Aaron Lee Jackson;USA;Hartford;1986-05-06
848;D'or Fischer;USA;Philadelphia;1981-10-12
849;Janis Blums;LVA;Saldus;1982-04-20
850;Dimitrios Mavroeidis;GRC;Atenas;1985-07-04
851;Novica Velickovic;SRB;Belgrado (Serbia);1986-10-05
852;Massine Fall;SEN;Guediawaye;1993-01-01
853;Fernando Cerqueira Monedero;ESP;Barcelona;1993-01-19
854;Kieron Achara;GBR;Stirling (Escocia);1983-07-03
855;Pape Laye Sow;SEN;Dakar;1981-11-22
856;Eugene Jeter III;USA;Los Angeles, California;1983-12-02
857;Derrick Obasohan;NGA;Houston (Texas, EE.UU.);1981-04-18
858;Guillermo Rejón Miguel;ESP;Madrid;1976-10-01
859;Pedro Rivero del Caz;ESP;Segovia;1979-07-22
860;Sergio Pérez Anagnostou;ESP;Madrid;1979-09-15
861;James Dale Augustine;USA;Midlothian (Illinois);1984-02-27
862;Charles Patrick Eidson;USA;Summerville, South Carolina;1980-10-10
863;Boniface Ndong;SEN;Mbour;1977-09-03
864;Tomas Hampl;CZE;Hradec Králové;1988-07-18
865;Joel Daniel Freeland;GBR;Aldershot;1987-02-07
866;Rogelio Legasa Pérez;ESP;Zaragoza;1974-12-10
867;Serge Jonas Ibaka Ngobila;ESP;Brazaville;1989-09-18
868;Micah Philip Downs;USA;Kirkland (Washington, EE.UU.);1986-09-08
869;Tyrone Gerard Ellis Jr.;GEO;Dallas, Texas;1977-10-05
870;Tiago Splitter Beims;ESP;Joinville;1985-01-01
871;Damir Krupalija;BIH;Sarajevo;1979-06-13
872;Rodrigo De la Fuente Morgado;ESP;Madrid;1976-11-26
873;Matt Walsh;USA;Holland (Pennsylvania);1982-12-02
874;Goran Dragic;SVN;Ljubljana;1986-05-06
875;Mark Christopher Payne;USA;Stockton, California;1988-06-17
876;Aloysius Anagonye;NGR;Southfield, Michigan;1981-02-10
877;Igor Ibaka Ngobila;COG;Brazzaville, República del Congo;1992-07-30
878;Javier De Pinto Hernández;ESP;Toledo;1992-08-18
879;Alando Forest Tucker;USA;Lockport (Illinois);1984-02-11
880;Alberto Pérez Garrido;ESP;Cuenca;1994-06-15
881;Josep Pérez Tomas;ESP;Llíria;1994-05-11
882;Andrew Jay Rautins;USA;Jamesville (Nueva York);1986-11-02
883;Samo Udrih;SVN;Celje;1979-08-02
884;Arturo Sarmiento Soriano;ESP;Valladolid;1994-05-10
885;Curtis Alan Borchardt;USA;Buffalo (New York);1980-09-13
886;Andy Obinna Young Ogide;NGA;Tallahassee, Florida;1987-10-01
887;Ime Sunday Udoka;NGA;Portland;1977-08-09
888;Robert Joseph;HTI;Puerto Príncipe;1978-05-05
889;Elhadji Malick Fall;ESP;Yeumbeul, Senegal;1992-12-08
890;Christopher Franklin Lofton;USA;Maysville (Kentucky);1986-03-27
891;Javier Medori Morales;ESP;Ibiza;1993-07-15
892;Sergi Solé Bertrán;ESP;Agramunt (Lérida);1994-03-03
893;Samuel Faifr;CZE;Praga;1993-02-08
894;Michel Diouf Diogoye;SEN;Medina Gounass;1989-04-19
895;Jesús Pablo Mulero Collantes;ESP;Bolanos de Campos (Valladolid);
896;Alejandro López Laz;ESP;La Laguna (Tenerife);1991-05-08
897;Fabio Astilleros Hernández;ESP;;1994-04-29
898;Radovan Kouril;CZE;Ostrava;1995-04-08
899;Germán Minarro Ibarra;ESP;;1994-04-23
900;Willie Morris Deane;BGR;New York;1980-02-23
901;Zabian Rashaad Dowdell;USA;Pahokee, Florida;1984-09-10
902;Ricardo Pámpano Muniz;ESP;Sevilla;1993-04-30
903;Curtis Louis Jerrells;USA;Austin (Texas);1987-02-05
904;Quincy Douby;USA;Brooklyn, Nueva York;1984-05-16
905;Darius Songaila;LTU;Marijampole;1978-02-14
906;Charles Willie Rhodes;USA;Galveston;1985-06-25
907;Roberto Pérez Arteaga;ESP;Zaragoza;1993-09-21
908;Kimani Kary Ffriend;JAM;Kingston;1977-07-29
909;Louis Herbert Bullock Jr.;USA;Washington, D.C.;1976-05-20
910;Ignacio Ordín Barrabes;ESP;Monzón (Huesca);1978-01-04
911;Iván García Casado;ESP;Barcelona;1986-09-18
912;Manuel de los Reyes Hussein Viera;ESP;Las Palmas de Gran Canaria;
913;Marc Fernández Usón;ESP;El Masnou;1987-07-23
914;Robertas Javtokas;LTU;Siauliai (Lituania);1980-03-20
915;Bruno Sundov;HRV;Split;1980-02-10
916;Jeremy Terrell Richardson;USA;Louisiana (EE.UU.);1984-03-01
917;Dusko Savanovic;SRB;Belgrado;1983-09-05
918;José Simeón Luján;ESP;Silla (Valencia);1991-03-19
919;Jesús Fernández Hernández;ESP;Villena (Alicante);1975-08-06
920;Ángel Victor Hernández Martos;ESP;Almería;1991-05-18
921;Coby Joseph Karl;USA;Great Falls (Montana);1983-06-08
922;Manuel Rodríguez Barrientos;ESP;Granada;1991-08-17
923;Carlos Nicolás Gianella;ITA;La Plata;1978-02-14
924;Terence Darea Morris;USA;Frederick (Maryland);1979-01-11
925;Jaka Lakovic;SVN;Ljubljana;1978-07-09
926;Ángel Aparicio Peraire;ESP;Benicarló;1992-08-14
927;Ricard Rubio Vives;ESP;El Masnou (Barcelona);1990-10-21
928;James Timothy Moran;IRL;Syosset, New York;1978-12-03
929;Darren Douglas Phillip;GBR;Londres;1978-03-18
930;Adam Edward Chubb;USA;Harrisburg;1981-07-05
931;Paolo Alfredo Quinteros;ITA;Colón;1979-01-15
932;Juan Francisco Riera Mestre;ESP;Palma de Mallorca;1979-09-01
933;Jorge Cano Quintana;ESP;;1991-02-20
934;Gustavo Javier Barrera Castro;ESP;Mercedes;1985-04-06
935;Georgios Printezis;GRC;Atenas;1985-02-22
936;Lance Terrell McIntyre;USA;Fayetteville;1977-10-18
937;Stanko Barac;HRV;Mostar;1986-07-19
938;Marcus Deshon Haislip;USA;Lewisburg (Tennessee);1980-12-22
939;Ander García Urbina;ESP;Bergara (Guipúzcoa);1989-04-05
940;David Kyle Logan;POL;Chicago;1982-12-26
941;Axel Weigand;ITA;La Plata;1985-01-04
942;Carlos Cazorla Medina;ESP;Las Palmas de Gran Canaria;1977-12-07
943;Serkan Erdogan;TUR;Amasya;1978-08-30
944;Matías Ariel Ibarra;ITA;Córdoba (Argentina);1981-02-17
945;Martynas Andriuskevicius;LTU;Kaunas;1986-03-12
946;Esteban Damián Batista Hernández;ESP;Montevideo (Uruguay);1983-09-02
947;Salvador Guardia Ramos;ESP;Valencia;1974-05-18
948;Nikoloz Tskitishvili;GEO;Tblisi;1983-04-14
949;Mindaugas Katelynas;LTU;Alytus;1983-05-16
950;Quinton Robert Hosley;GEO;Harlem NY;1984-03-25
951;Russell Robinson Jr.;USA;Bronx (New York);1986-01-24
952;William Dubois McDonald;USA;New Orleans, Louisiana;1979-10-05
953;Diego Sánchez Mordós;ESP;Gijón;1975-12-26
954;Joan Faner Catala;ESP;Ciutadella;1990-11-17
955;Diego Andrés Ciorciari;ITA;Santa Fe (Santa Fe);1980-03-02
956;Ivan Radenovic;SRB;Belgrado;1984-06-10
957;Raviv Limonad;ISR;Netanya;1984-08-26
958;Cuthbert Nicholson Victor;USA;St-Croix (Islas Vírgenes);1983-01-30
959;Caio Aparecido Da Silveira Torres;ESP;Sao Paulo;1987-06-03
960;Rafael Molina García;ESP;Madrid;1989-01-03
961;Maximiliano Ariel Stanic;ITA;Morón (Argentina);1978-12-02
962;Jiri Welsch;CZE;Pardubice;1980-01-27
963;Ettore Messina;ITA;Catania;
964;Clay Javen Tucker;USA;Lima (Ohio);1980-06-14
965;Alfons Alzamora Ametller;ESP;Palma de Mallorca;1979-05-20
966;Brian Michael Cusworth;USA;St-Louis;1984-03-09
967;Milan Majstorovic;SRB;Novi Sad;1983-01-28
968;Lawrence Charles Lewis;USA;Los Angeles, California;
969;Daniel López Alcaniz;ESP;Salamanca;1982-04-29
970;Mikel Uriz Ancizu;ESP;Pamplona;1989-07-19
971;Christopher Levour Warren;USA;Garland (Texas);1981-01-19
972;Martin Rancik;SVK;Nitra;1978-06-05
973;Francisco Vázquez Duckitt;ESP;Ibiza;1974-03-07
974;Alejandro Reyes Abad;ESP;Cáceres;1993-12-17
975;Víctor Fabián Baldo;ITA;San Nicolás;1977-03-04
976;Ewoud Joannes Alexander Kloos;NLD;Nieuw Gastel;1989-05-25
977;Víctor Arnau Genís;ESP;Valencia;1991-05-11
978;Davor Kus;HRV;;1978-07-21
979;Leroy Andre Owens;BGR;Indianapolis;1980-10-31
980;Carlos De Cobos Ortega;ESP;Sao Paulo;1988-05-11
981;Carles Marzo Checa;ESP;Barcelona;1992-05-15
982;Svetislav Pesic;DEU;Novi Sad (Serbia);
983;Elios Sadiku;FRA;Ghian (Kosovo);1991-04-18
984;Bojan Popovic;SRB;Belgrado;1983-02-13
985;Billy Baptist;USA;East Peoria (Illinois, EEUU);1987-08-19
986;Millán López Martín;ESP;Valladolid;1994-01-10
987;Kenneth Brian Hasbrouck;USA;Washington D.C-(EE.UU.);1986-08-14
988;Jaume López Castells;ESP;Terrassa;1989-12-10
989;Alan Jeffrey Anderson;USA;Minneapolis (Minnesota);1982-10-16
990;Albert Del Hoyo Pérez;ESP;Manresa;1992-07-31
991;Pablo Esteban Pascual;ESP;Valladolid;1993-03-26
992;Bismack Biyombo Sumba;COD;Lubumbashi;1992-08-28
993;Joan Tomas Noguera;ESP;Palma de Mallorca;1992-05-12
994;Nikola Rakocevic;MNE;Podgorica;1991-01-22
995;Francisco Segura Gómez;ESP;Granada;1972-04-07
996;Iván Cruz Uceda;ESP;;1991-10-24
997;Adrián Casas Filip;ESP;Madrid;1989-12-30
998;Emanuele Molin;ITA;Venecia;
999;Shad Venson Hamilton;USA;Forest City, North Carolina;1977-08-11
1000;Dejan Borovnjak;SRB;Knin (Serbia);1986-04-01
1001;Luis De la Cruz Escalada;ESP;Zaragoza;1994-02-03
1002;Darryl Bryan Middleton;ESP;Queens, New York;
1003;Ignacio De Miguel Villa;ESP;Madrid;1973-10-24
1004;Jorge Federico Laliena Iranzo;ESP;Zaragoza;1993-05-25
1005;Sergi Clotet Freixas;ESP;Manresa;1988-05-14
1007;Juan Alberto Aguilar García;ESP;Sevilla;1988-01-06
1008;Guillermo Aliende Riglos;ESP;Zaragoza;1994-01-22
1009;Rolands Freimanis;LVA;Gulbente (Letonia);1988-01-21
1010;Vladimir Dragicevic;MNE;Cetinje (Montenegro);1986-05-30
1011;Gianluca Basile;ITA;Ruvo di Puglia;1975-01-24
1012;Darjus Lavrinovic;LTU;Vilnius (Lituania);1979-11-01
1013;Vladimir Dasic;MNE;Podgorica;1988-05-13
1014;Travis Mitchell Hansen;RUS;Probo, Utah;1978-04-15
1015;Antwain La'mar Barbour;USA;Elizabethtown (Kentucky);1982-06-27
1016;Michal Jakub Ignerski;POL;Lublin;1980-08-13
1017;Raimundo López De Vinuesa Piote;ESP;Málaga;1989-04-02
1018;Jason David Detrick;AUT;Dusseldorf (Alemania);1980-12-05
1019;Edgar San Epifanio Herrero;ESP;Barcelona;1987-10-05
1020;Ahmad Naadir Nivins;USA;Nueva Jersey;1987-02-10
1021;Marcus Vinicius Toledo Dos Reis;ESP;Sao Paulo;1986-07-10
1022;Carlos Matías Sandes Steinmetz;ESP;Mendoza;1984-06-14
1023;Christopher Ryan Thomas;USA;Indianapolis (Indiana);1982-03-10
1024;Tal Burstein;ISR;Tel Aviv;1980-02-19
1025;Ignacio Guigou Tudela;ESP;Tenerife;1991-01-03
1026;Vlado Scepanovic;MNE;Kolasin;1975-11-13
1027;Albert Moncasi Vasco;ESP;Premia de Mar;1986-05-04
1028;Roger William Powell;USA;Illinois;1983-06-15
1029;Oscar Javier García Burón;ESP;Bilbao;1979-03-04
1030;José Antonio Marco Gaona;ESP;Murcia;1989-03-24
1031;Christopher Vashon Moss;USA;Columbus, Ohio;1980-02-07
1032;Pedro Jerónimo Robles Rey;ESP;Madrid;1977-07-17
1033;Tomas Delininkaitis;LTU;Klaipeda;1982-06-11
1034;Milos Vujanic;SRB;Loznica;1980-11-13
1035;Xavier Sánchez Bernat;ESP;Balaguer (Lleida);1975-01-07
1036;Vladimir Micov;SRB;Belgrado;1985-04-16
1037;Jon Uriarte Salazar;ESP;Bilbao;1985-05-16
1038;Jerome Bouroro Moiso;FRA;Paris;1978-06-15
1039;Renaldas Seibutis;LTU;Mazeikiai;1985-07-23
1040;Jimmie Lee Hunter;USA;Memphis, Tennessee;1977-12-24
1041;Jorge Antonio Fernández Hengge;ESP;Granada;1989-03-22
1042;Teemu Rannikko;FIN;Turku (Finlandia);1980-09-09
1043;Mario Trevon Austin;USA;Livingston, Alabama;1982-02-26
1044;Vule Avdalovic;SRB;Gacko;1981-11-24
1045;Jorge García Navea;ESP;Córdoba;1977-02-23
1046;Kyle Hill;USA;Chicago;1979-04-07
1047;Robert Clark Battle;USA;Philadelphia;1981-05-05
1048;David Ortega Díez;ESP;Valladolid;1984-04-29
1049;Francesc Xavier Puyada Alsina;ESP;Badalona (Barcelona);1981-05-15
1050;Brian Matthew Chase;USA;Washington DC;1981-10-08
1051;Arturo Fernández Rodríguez;ESP;Valladolid;1990-08-01
1052;Reyshawn Antonio Terry;USA;Winston Salem;1984-04-07
1053;Marc Anthony Jackson;USA;Philadelphia, Pennsylvania;1975-01-16
1054;Nihad Djedovic;BIH;Visegrad;1990-01-12
1055;Drago Pasalic;HRV;Split;1984-06-23
1056;Michael Scott Higgins Mosley;ESP;Grand Island, Nebraska;
1057;Neven Spahija;HRV;Sibenik;
1058;Rawle Junior Kalomo Marshall;USA;Georgetown, Guyana;1982-02-20
1059;Marko Marinovic;SRB;Cacak;1983-03-15
1060;Matthew Peter Nielsen;AUS;Penrith;1978-02-03
1061;Petar Popovic;SRB;Belgrado;1979-07-28
1062;Daniel Blake Ahearn;USA;St-Louis, Missouri;1984-05-27
1063;Guillermo Jorge Ripper;ESP;Las Palmas de Gran Canaria;1988-06-27
1064;Marcus Anthony Norris;HRV;Jackson, Michigan;1974-08-20
1065;Antonio Bueno Delgado;ESP;Madrid;1980-09-25
1066;Alain Koffi;FRA;Abidjan;1983-11-23
1067;Mario Bruno Fernández Hidalgo;ESP;Barcelona;1983-12-11
1068;Rafael Vidaurreta Ramírez;ESP;Madrid;1977-01-05
1069;Daniel Leslie Grunfeld;ROU;Livingston, New Jersey;1984-02-07
1070;Bernardo Castillo Olmo;ESP;Jaén;1988-07-29
1071;Martín Buesa Azurmendi;ESP;Vitoria;1988-08-24
1072;Lior Eliyahu;ISR;Tel Aviv (Israel);1985-09-09
1073;Eric Fernández Pueyo;ESP;Barcelona;1989-02-07
1074;Marcos Molina Caravate;ESP;Murcia;1990-04-18
1075;Mario Álvarez Puertas;ESP;Plasencia;1991-09-23
1076;Bozhidar Svilenov Avramov;BGR;Varna;1990-03-08
1077;Michael David Ruffin;USA;Denver, Colorado;1977-01-21
1078;Maurice Ager;USA;Detroit;1984-02-09
1079;Robert Conley;USA;Georgia;1977-04-30
1080;Shammond Omar Williams;GEO;Bronx, New York;1975-04-05
1081;Alan Mark Voskuil;DNK;Mobile (Alabama);1986-09-10
1082;Sean Michael-Eli Singletary;USA;Philadelphia;1985-09-06
1083;Tomas  Van den Spiegel;BEL;Gent;1978-07-10
1084;David Marek;CZE;Praga;1985-06-08
1085;Eduard Torres Girbau;ESP;Barcelona;
1086;Walter Herrmann Heinrich;ESP;Venado Tuerto;1979-06-26
1087;Miguel Mauricio Molina Iborra;ESP;Málaga;1989-10-25
1088;Marko Jaric;SRB;Belgrado;1978-10-12
1089;Adrián Fuentes Fidalgo;ESP;Málaga;1987-01-07
1090;Juan Antonio Dixon;USA;Baltimore;1978-10-09
1091;Amara Sy;FRA;París;1981-10-28
1092;Ermin Jazvin;BIH;Mostar;1980-03-12
1093;Jordan Burger;BRA;Blumenau;1991-03-04
1094;Joseph Gomis;FRA;Evreux;1978-07-02
1095;Rubén Enrique Douglas;USA;Pasadena, CA;1979-10-30
1096;Devin Lavall Davis Monroe;ESP;Miami, Florida;1974-12-27
1097;Héctor Piquer Alós;ESP;;1991-07-17
1098;Álvaro Asier Martínez Garzo;ESP;Valladolid;1992-04-20
1099;Djeremaja Timoteus Mejsi;MKD;Detroit;1982-06-22
1100;Josep Clarós Canals;ESP;Tiana;
1101;Maurice Edward Bailey;USA;Hempstead, Nueva York;1981-10-30
1102;Alberto Ruiz de Galarreta Fernández;ESP;Logrono (La Rioja);1983-12-30
1103;Damir Rancic;HRV;Split;1983-06-23
1104;Gary Neal;USA;Ohio;1984-10-03
1105;Morris Edmond Almond;USA;Dalton, Georgia;1985-02-02
1106;Xavier Costa Barriga;ESP;;1984-11-10
1107;Leonardo Klassmann Waskiewicz;BRA;Santo Angelo;1989-05-23
1108;Rubén Santiago Garcés Riquelme;ESP;Colón;1973-10-17
1109;Ondrej Starosta;CZE;Praga;1979-05-28
1110;Lucas Javier Victoriano Acosta;ESP;S-Miguel Tucumán;1977-11-05
1111;Matías Lescano;ITA;Córdoba;1979-09-29
1112;Dimosthenis Ntikoudis;GRC;Larissa;1977-06-24
1113;Ermal Kurtoglu;TUR;Korca;1980-02-12
1114;Peter John Ramos;USA;Fajardo;1985-05-23
1115;José Antonio Paraíso González;ESP;Torrejón de Ardoz (Madrid);1971-04-20
1116;Ferran López Torras;ESP;Barcelona;1971-11-19
1117;V-Radivojevic;SRB;Belgrado;1983-09-20
1118;Gonzalo Martínez Martínez;ESP;Madrid;1974-07-03
1119;Jesse Wade Young;IRL;Peterborough;1980-04-29
1120;Ivan Opacak;BIH;Zenica;1980-04-23
1121;Bojan Bogdanovic;HRV;Mostar;1989-04-18
1122;Daniel Gregg Santiago;PRI;Lubbock, Texas;1976-06-24
1123;David Emil Andersen;DNK;Carlton (Australia);1980-06-23
1124;Ersan Ilyasova;TUR;Eskisehir;1987-05-15
1125;Andre Barrett;USA;Bronx (New York City);1982-02-21
1126;Jan Hendrik Jagla;DEU;Berlin;1981-06-25
1127;Simas Jasaitis;LTU;Vilnius;1982-03-26
1128;Thomas Rutledge Wideman;USA;Hartsville, South Carolina;1976-11-05
1129;Vonteego Cummings;USA;Thompson (Georgia);1976-02-29
1130;Eldar Fernández Cendejas Rodríguez;ESP;Barcelona;1989-01-20
1131;Iker Iturbe Martinez de Lecea;ESP;Vitoria;1976-07-10
1132;Predrag Savovic;SRB;Pula;1976-05-21
1133;Frederic Weis;FRA;Thionville;1977-06-22
1134;Quincy Lavell Lewis;USA;Little Rock, Arkansas;1977-06-26
1135;Luke Recker;USA;;1978-06-14
1136;Vladimir Boisa;SVN;Rustavi;1981-07-04
1137;Josep Maria Guzmán Canas;ESP;Badalona (Barcelona);1984-02-28
1138;Vrbica Stefanov;MKD;Kavadarci;1973-12-19
1139;William Keith Eley;USA;Detroit, Michigan;1975-01-14
1140;Marino Bazdaric;HRV;Rijeka;1978-11-25
1141;Matías Nocedal Pagano;ESP;Buenos Aires;1990-05-30
1142;Igor Rakocevic;SRB;Belgrado;1978-03-29
1143;Mustafadeen Shakur;USA;Pennsylvania;1984-08-18
1144;Ariel Julio Eslava Steinmetz;ESP;Buenos Aires;1979-04-11
1145;José María Balmón Calvente;ESP;Algeciras;1981-05-27
1146;Carles Marco Vinas;ESP;Badalona (Barcelona);1974-09-23
1147;Warren Carter;USA;;1985-04-23
1148;Andrea Pecile;ITA;Trieste;1980-03-30
1149;Elmer James Bennett;USA;Evanston, Illinois;1970-02-13
1150;Mile Ilic;SRB;Tuzla;1984-06-02
1151;Manuel Comas Hortet;ESP;Barcelona;
1152;Ernesto Díaz Ortiz;ESP;Málaga;1990-03-14
1153;Juan Ignacio Sánchez Brown;ESP;Bahía Blanca;1977-05-08
1154;Marko Tomas;HRV;Koprivnica;1985-01-03
1155;Filip Aleksandrov Videnov;BGR;Sofía;1980-06-12
1156;Carlos Román Cherry González;ESP;Sevilla;1979-10-25
1157;Carlos Eduardo Fernandes Vieria de Andrade;PRT;;1978-04-27
1158;Denis Marconato;ITA;Treviso;1975-07-29
1159;Daniel Ginés Martínez Giménez;ESP;;1991-05-13
1160;Nicola Vasic;SRB;Sabac;1984-09-15
1161;Daniel Ojeda Davila;ESP;;2019-06-17
1162;Donatas Slanina;LTU;Siauliai;1977-04-23
1163;Robert Hite;USA;Ohio;1984-01-12
1164;Tyus Dwayne Edney;USA;California;1973-02-14
1165;Angel González Jareno;ESP;Madrid;
1166;Paul Murphy Shirley;USA;Redwood City, California;1977-12-23
1167;DeJuan Lamont Collins;USA;Youngstown, Ohio;1976-11-20
1168;Daniel Martí Moreno;ESP;;1989-10-20
1169;Corey Lavelle Brewer;USA;West Memphis, Arkansas;1975-01-02
1170;Vlado Ilievski;SVN;Strumica;1980-01-19
1171;Andrija Zizic;HRV;Split;1980-01-14
1172;Alberto Antuna Leal;ESP;Murcia;1991-10-19
1173;Branko Milisavljevic;SRB;Uzice;1976-07-21
1174;Marcus Vondell Faison;BEL;Köln;1978-02-18
1175;Francisco Alberto Angulo Espinosa;ESP;Zaragoza;1970-06-19
1176;Francisco Javier Imbroda Ortiz;ESP;Melilla;
1177;Cristian Alexis Montas García;ESP;La Romana;1979-09-11
1178;Jorge Santana Montes;ESP;Las Palmas de Gran Canaria;1990-01-09
1179;Nenad Mijatovic;MNE;Split (Croacia);1987-01-22
1180;Loren Gerard Woods;USA;Misouri;1978-06-21
1181;William Kendrick Gregory;USA;Columbus (Ohio);1978-11-16
1182;Kennedy Lawrence Winston;USA;Alabama;1984-07-29
1183;Francisco Solsona Serrano;ESP;;1989-11-09
1184;Fulvio Chiantia De Assis;ITA;Sao Paulo;1981-08-15
1185;David Tomás Marina Simón;ESP;Madrid;1988-03-23
1186;Joaquín Bonhome Pulido;ESP;Córdoba;1986-04-04
1187;John Harding Lucas III;USA;Washington D.C.;1982-11-21
1188;Giorgi Sharabidze;GEO;;1990-04-27
1189;Mariano De Pablos Alonso;ESP;;1975-12-22
1190;Michal Chylinski;POL;Bydgoszcz;1986-02-22
1191;Rick Hughes;USA;Cincinnati, Ohio;1973-08-22
1192;Kevin Lamont Thompson;USA;Winston Salem, North Carolina;1971-02-07
1193;Heshimu Kenyata Evans;USA;;1975-05-05
1194;Ignacio Yánez Cidad;ESP;Madrid;1973-04-11
1195;Daniel Strong;FRA;Denville, New Jersey;1975-01-18
1196;Juan José Bernabé Pascual;ESP;Alicante;1975-12-28
1197;Daniel García Gutiérrez;ESP;Badalona (Barcelona);1975-12-12
1198;Gustavo Aranzana Méndez;ESP;Valladolid;
1199;Corsley Edwards II;USA;Baltimore, Maryland;1979-03-05
1200;Christopher Massie;USA;;1976-09-10
1201;Kornel David;HUN;Nagykanizsa;1971-10-22
1202;Rubén Pablo Magnano;ITA;Villa María, Córdoba (Argentina);
1203;Jesús Antonio Cilla Rubio;ESP;Zaragoza;1977-01-10
1204;Aaron Miles;USA;Portland, Oregon;1983-04-13
1205;Antonio Bustamante Gaitán;ESP;Sevilla;1984-07-17
1206;Michalis Kakiouzis;GRC;Atenas;1976-11-29
1207;Patrick Graham Carroll;USA;;1982-09-10
1208;Arriel Rene McDonald;SVN;Harvey, Illinois;1972-01-05
1209;Jarod Stevenson;USA;Seul;1975-12-01
1210;Jackson Vroman;USA;Laguna, California;1981-06-06
1211;Predrag Drobnjak;SRB;Bijelo Polje;1975-10-27
1212;Marc Gasol Sáez;ESP;Barcelona;1985-01-29
1213;Pau Llinas De Cendre;ESP;Girona;1990-03-07
1214;Zoran Planinic;HRV;Mostar;1982-09-12
1215;José Luis Fernández Sixto;ESP;Ferrol;1975-08-04
1216;Aleksej Nesovic;BIH;Sarajevo;1985-03-14
1217;Álvaro Frutos Zurita;ESP;Madrid;1987-03-18
1218;Jared Thomas Reiner;USA;;1982-08-04
1219;Guillermo Federico Kammerichs;DEU;Goya;1980-06-21
1220;Anton Gavel;SVK;Kosice;1984-08-14
1221;Stephane Remy Daniel Risacher;FRA;Moulins;1972-08-26
1222;Xavier López López;ESP;Barcelona;1983-04-04
1223;Asier Zengotitabengoa García;ESP;Vitoria-Gasteiz;1988-04-29
1224;Brian Boddicker;USA;Sioux City, Iowa;1981-06-08
1225;Vassil Lliev Evtimov;FRA;Sofia;1977-05-30
1226;Joao Santos;PRT;Lisboa;1979-06-15
1227;Ignacio Pablo Rodríguez Marín;ESP;Málaga;1970-09-02
1228;Georgios Pavlidis;GRC;Thessaloniki;1978-02-03
1229;Sergio De la Fuente Valdizán;ESP;Vitoria;1989-10-01
1230;Iván Corrales Gordo;ESP;Plasencia (Cáceres);1974-07-12
1231;Oscar Yebra Fernández;ESP;León;1974-07-15
1232;Michel Morandais;FRA;;1979-09-10
1233;Mario Kasun;HRV;Vinkovci;1980-04-05
1234;Charles Smith;USA;Fort Worth, TX;1975-09-22
1235;Michalis Pelekanos;GRC;;1981-05-25
1236;Kerem Tunçeri;TUR;Estambul;1979-04-14
1237;Dejan Milojevic;SRB;Belgrado;1977-04-15
1238;Mindaugas Timinskas;LTU;Silute;1974-03-28
1239;Victor Hidalgo Balaguer;ESP;;1986-08-16
1240;Fred House;USA;Valdosta;1978-01-04
1241;Craig Callahan;USA;Maquoketa, Iowa;1981-05-26
1242;Bernardo Hernández Arencibia;ESP;Las Palmas de Gran Canaria;1975-04-08
1243;Marko Tusek;SVN;Trbovlje;1975-07-17
1244;Javier Mendiburu Urgell;ESP;Badalona (Barcelona);1980-12-01
1245;Ignacio González Gallego;ESP;Valencia;1988-01-29
1246;Linton Johnson;USA;Chicago;1980-06-13
1247;Darius Pakamanis;LTU;;1981-09-08
1248;Alex Acker;USA;;1983-01-21
1249;José Manuel Hernández González;ESP;;1989-03-19
1250;Alejandro Navajas Garrido;ESP;Málaga;1986-10-06
1251;Ratko Varda;SRB;Bosanska Gradiska;1979-05-06
1252;Jaime Diéguez Bodelón;ESP;;1989-11-06
1253;Zeljko Rebraca;SRB;Apatin;1972-04-09
1254;Jorge Calvo Otero;ESP;;1987-10-30
1255;Javier Carlos González López;ESP;Pau (Francia);
1256;Albert Teruel Pla;ESP;Barcelona;1987-04-03
1257;Claudio Fonseca Do Santos;PRT;Lisboa;1989-01-22
1258;Lonny Baxter;USA;Whasington D.C.;1979-01-27
1259;Youssoupha Mbao;SEN;Dakar;1990-04-12
1260;Vitaliy Potapenko;UKR;Kiev;1975-03-21
1261;Nnaduben Gabriel Enyinnaya Muoneke;USA;Ann Arbor, Michigan;1978-02-07
1262;Maurice Lamar Whitfield;CZE;Philadelphia, PA;1973-03-29
1263;Ivan Tomas;HRV;Kropivnica;1981-03-15
1264;Orlando Camin Mendíbil;ESP;Gijón;1989-04-01
1265;Fabio Arlindo Da Cruz Lima;PRT;Lisboa;1988-08-18
1266;Erik Christopher Daniels;USA;Cincinnati (Ohio);1982-04-01
1267;Nicolás de los Santos Talmón;ARG;Bahia Blanca;1988-04-15
1268;Germaine Jackson;USA;Michigan;1976-06-07
1269;Pablo Movilla Ramos;ESP;Badajoz;1987-10-31
1270;Daniel Yusta García;ESP;Madrid;1986-02-04
1271;John Garfield Bailey;USA;California;1975-11-19
1272;Walker Dwayne Russell Jr.;USA;Michigan;1982-10-06
1273;Tomas Nagys;LTU;Mazeikiai;1980-03-05
1274;Terrell Ray Castle;BIH;Louisiana;1972-09-12
1275;Pau Vila Camprodon;ESP;Girona;1990-06-08
1276;Christopher M-Hernández;USA;México;1983-03-17
1277;J-Singleton;USA;;1981-07-20
1278;Michael Bradley;USA;Worcester, Mass.;1978-04-18
1279;Olumide Oyedeji;NGA;Ibadan;1981-05-11
1280;David Anthony Noell II;USA;North Carolina;1984-02-27
1281;Martí Serra Davesa;ESP;Girona;1989-10-25
1282;Mario García Burón;ESP;León;1973-04-20
1283;Moustapha Sonko;FRA;Paris;1972-06-14
