id;név;nemzetiség;születési hely;születési idő
285;Joan Ferran Bernácer Aznar;ESP;Felanitx;1999-11-16
286;Wally Niang;SEN;Dakar;1996-06-05
287;Vit Krejci;CZE;Strakonice;2000-06-19
288;Daniel Mark Clark;GBR;Greenwich, Londres;1988-09-16
289;Aleksandar Marelja;SRB;Belgrado;1992-12-06
290;DeAndre Donte Kane;USA;Pittsburgh (EE.UU.);1989-06-10
291;Luis Guil Torres;ESP;Sevilla;1971-07-16
292;Rodrigo Gómez Barral;ESP;Poio;1996-09-05
293;Ignacio Rosa Pompido;ESP;Badalona;1999-07-01
294;Aleksandar Maric;HRV;Sidney;1984-10-22
295;David Thomas Barlow;AUS;Melbourne;1983-10-22
296;Luis Ferrando Ortells;ESP;Valencia;1996-04-23
297;Michael Edward Tobey;USA;Monroe (New York, EE.UU.);1994-10-10
298;Rodions Kurucs;LVA;Cesis (Letonia);1998-05-02
299;Marco Shyderrick Knight;USA;Dublin (Georgia, EE.UU.);1989-09-24
300;Alec Thomas Brown;USA;Winona (EE.UU.);1992-07-23
301;Alejandro Martínez Plasencia;ESP;Barcelona;
302;Troy Anthony DeVries;USA;Mount Vernon (Washington);1982-07-27
303;Osas Ehigiator Ehigiator;ESP;Sevilla;1999-10-30
304;Guillermo Mulero Maldonado;ESP;Madrid;1997-05-08
305;Dino Radoncic;SRB;Giessen;1999-01-08
306;Arturs Kurucs;LVA;Cesis (Letonia);2000-01-19
307;Njegos Sikiras;BIH;Pale (Bosnia Herzegovina);1999-04-11
308;Ahmed Aboelela Moursi Mohamed Khalaf;EGY;Giza;1999-02-24
309;Ricardo Julio Ledo;USA;Providence (Rhode Island, EE.UU.);1992-09-10
310;Christian Eyenga Moenge;COD;Kinshasa;1989-06-22
311;Shawn Arthur Jones;USA;Hialeah (Florida, EE.UU.);1992-03-25
312;Víctor Sada Remisa;ESP;Badalona (Barcelona);1984-03-08
313;Joao Roberto Correia Gomes;PRT;Isla de Fuego (Cabo Verde);1985-05-02
314;Sergi Pino Capdevila;ESP;Barcelona;1987-07-03
315;Dairis Bertans;LVA;Valmiera;1989-09-09
316;Raül López Molist;ESP;Vic (Barcelona);1980-04-15
317;Shawn Fitzalbert James;GUY;Berbice (Guyana);1983-09-10
318;Alexander Marc Ruoff;USA;Hamilton (Ohio, EE.UU.);1986-08-29
319;Clevin Finley Hannah;USA;Rochester (Nueva York);1987-11-15
320;Xavier Pascual Vives;ESP;Gava;1972-09-09
321;Carlos Alberto Arroyo Bermúdez;PRI;Fajardo (Puerto Rico);1979-07-30
322;Alejandro Abrines Redondo;ESP;Palma de Mallorca;1993-08-01
323;Tomas Satoransky;CZE;Praga;1991-10-30
324;Olaseni Abdel Jelil 'Shane' Lawal;NGA;Abeokuta (Nigeria);1986-10-08
325;Joaquín Ruiz Lorente;ESP;Zaragoza;
326;Drake Richard Diener;USA;Fond du Lac (Wisconsin);1981-12-19
327;Seketoure Michael Henry;JAM;Lynwood;1987-06-28
328;Nate Linhart;USA;Gahanna (Ohio);1986-11-14
329;Pedro José Romera Rodríguez;ESP;Jaén;1988-09-28
330;Halil Kanacevic;MNE;Staten Island (EE.UU.);1991-10-23
